날짜,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계,연,월,일,요일
2016-01-01,O,구름 조금,3359,3199,141.0,419,47,0,1023,4382,2016,1,1,4
2016-01-02,O,구름 많음,5173,4770,203.0,600,100,111,2092,7265,2016,1,2,5
2016-01-03,O,구름 많음,3008,2971,128.0,309,91,0,1549,4557,2016,1,3,6
2016-01-04,X,구름 많음,890,1002,,235,51,223,800,1690,2016,1,4,0
2016-01-05,X,구름 많음,416,719,35.0,62,43,47,840,1256,2016,1,5,1
2016-01-06,X,눈,520,480,25.0,80,20,30,400,920,2016,1,6,2
2016-01-07,O,눈/비,4200,3900,180.0,350,85,90,1800,6000,2016,1,7,3
2016-01-08,X,비,3100,2850,,280,60,0,1300,4400,2016,1,8,4
2016-01-09,X,맑음,2800,2600,120.0,220,55,80,1100,3900,2016,1,9,5
2016-01-10,X,맑음,3500,3200,160.0,300,70,100,1500,5000,2016,1,10,6
2016-01-11,O,구름 조금,1200,1100,,150,30,0,600,1800,2016,1,11,0
2016-01-12,X,눈,980,900,40.0,90,15,50,450,1430,2016,1,12,1
2016-01-13,X,눈/비,4500,4100,210.0,420,95,120,2000,6500,2016,1,13,2
2016-01-14,X,비,3800,3500,180.0,320,75,0,1600,5400,2016,1,14,3
2016-01-15,O,맑음,2900,2700,110.0,250,50,70,1200,4100,2016,1,15,4
2016-01-16,X,구름 많음,1500,1400,60.0,130,25,40,700,2200,2016,1,16,5
2016-01-17,X,눈,870,800,,70,10,0,380,1250,2016,1,17,6
2016-01-18,O,눈/비,4100,3800,190.0,380,80,100,1700,5800,2016,1,18,0
2016-01-19,X,비,3300,3000,150.0,290,65,0,1400,4700,2016,1,19,1
2016-01-20,X,맑음,2700,2500,100.0,210,45,60,1000,3700,2016,1,20,2
